0,1,2,3,4,5,6,7,8,9,10
frankfurter,pickled vegetables,other vegetables,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
other vegetables,mustard,soups,,,,,,,,
yogurt,shopping bags,waffles,chocolate,,,,,,,
bottled water,chicken,processed cheese,whole milk,,,,,,,
rum,onions,,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
other vegetables,salty snack,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
pastry,liquor,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
soda,chocolate,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
citrus fruit,waffles,female sanitary products,,,,,,,,
soap,berries,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
newspapers,soda,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
meat,condensed milk,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
yogurt,newspapers,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
onions,bottled water,pastry,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
tropical fruit,root vegetables,,,,,,,,,
dog food,bottled beer,,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
pot plants,chicken,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
other vegetables,sugar,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
pip fruit,sausage,pip fruit,shopping bags,,,,,,,
processed cheese,yogurt,,,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
hygiene articles,napkins,,,,,,,,,
sausage,bottled beer,,,,,,,,,
bottled water,meat spreads,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
bottled water,sausage,whole milk,margarine,,,,,,,
sliced cheese,soda,,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
cereals,bottled water,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
soda,soda,pip fruit,popcorn,soda,pasta,whole milk,dental care,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,whisky,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
meat,frozen potato products,,,,,,,,,
frankfurter,coffee,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
fish,chocolate,,,,,,,,,
liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
pastry,semi-finished bread,dishes,napkins,,,,,,,
whole milk,pastry,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
berries,whole milk,,,,,,,,,
whole milk,chewing gum,,,,,,,,,
pork,whole milk,,,,,,,,,
butter milk,waffles,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,yogurt,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
canned beer,cereals,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
soda,napkins,,,,,,,,,
soda,newspapers,,,,,,,,,
beverages,chocolate,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
softener,salt,whole milk,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
other vegetables,other vegetables,rolls/buns,,,,,,,,
berries,white bread,,,,,,,,,
coffee,soft cheese,,,,,,,,,
fruit/vegetable juice,cat food,zwieback,frozen dessert,,,,,,,
whipped/sour cream,soda,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
flower (seeds),shopping bags,,,,,,,,,
tropical fruit,white wine,oil,,,,,,,,
pork,whole milk,,,,,,,,,
sausage,spread cheese,chocolate,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
chicken,pastry,,,,,,,,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
cream cheese ,whole milk,candy,,,,,,,,
whole milk,sauces,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
soda,root vegetables,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
sausage,frozen potato products,,,,,,,,,
citrus fruit,curd,napkins,,,,,,,,
jam,cake bar,,,,,,,,,
beef,pasta,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
other vegetables,waffles,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
sausage,tropical fruit,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
curd cheese,whole milk,long life bakery product,hard cheese,,,,,,,
whole milk,canned vegetables,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
finished products,flower (seeds),,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
root vegetables,pastry,,,,,,,,,
tropical fruit,canned beer,hygiene articles,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
frozen meals,sugar,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
soda,shopping bags,,,,,,,,,
canned beer,root vegetables,hard cheese,specialty cheese,,,,,,,
soda,condensed milk,curd,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
sausage,specialty fat,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
dessert,whole milk,,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
other vegetables,condensed milk,other vegetables,bottled water,pastry,misc. beverages,,,,,
meat,canned fish,,,,,,,,,
butter,bottled water,,,,,,,,,
soda,salty snack,candy,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,soda,soda,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
whole milk,other vegetables,white bread,,,,,,,,
dessert,coffee,whole milk,cream cheese ,,,,,,,
pastry,shopping bags,,,,,,,,,
newspapers,candy,,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
soda,soda,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
sausage,curd cheese,,,,,,,,,
dishes,rolls/buns,,,,,,,,,
organic products,root vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
sugar,other vegetables,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
whole milk,soda,,,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
dessert,mayonnaise,,,,,,,,,
cake bar,butter,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
tropical fruit,candy,,,,,,,,,
soda,mayonnaise,,,,,,,,,
soda,pastry,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
liquor,brandy,,,,,,,,,
white bread,newspapers,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
napkins,dessert,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
chicken,root vegetables,dish cleaner,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
brown bread,canned beer,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
candles,whole milk,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
pip fruit,berries,white wine,other vegetables,,,,,,,
coffee,berries,,,,,,,,,
beef,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
frozen meals,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
hamburger meat,soda,pastry,newspapers,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
onions,soda,,,,,,,,,
pickled vegetables,Instant food products,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
meat,specialty cheese,,,,,,,,,
soda,napkins,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
pastry,ice cream,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
misc. beverages,other vegetables,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
sausage,semi-finished bread,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
pastry,whipped/sour cream,decalcifier,,,,,,,,
sausage,hygiene articles,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
other vegetables,oil,,,,,,,,,
pastry,root vegetables,,,,,,,,,
sausage,fruit/vegetable juice,bottled water,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
newspapers,hard cheese,,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
herbs,citrus fruit,,,,,,,,,
butter,skin care,rolls/buns,,,,,,,,
frankfurter,bottled water,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
onions,hard cheese,,,,,,,,,
soda,curd,sliced cheese,,,,,,,,
condensed milk,shopping bags,long life bakery product,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,grapes,,,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
dessert,soda,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
bottled water,whole milk,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
soda,bottled water,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
beverages,canned vegetables,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
soda,red/blush wine,,,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,pet care,,,,,,,,,
soap,rum,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
beverages,domestic eggs,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
soda,other vegetables,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
ham,roll products ,brown bread,,,,,,,,
specialty bar,canned beer,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
herbs,canned beer,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
chocolate,margarine,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
tropical fruit,frozen potato products,vinegar,,,,,,,,
canned beer,tropical fruit,kitchen towels,,,,,,,,
beef,bottled water,soda,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
frozen meals,butter,newspapers,yogurt,,,,,,,
beef,candy,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
sausage,frozen meals,instant coffee,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
shopping bags,coffee,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
sausage,detergent,,,,,,,,,
fish,pot plants,coffee,,,,,,,,
onions,pastry,,,,,,,,,
softener,chocolate,,,,,,,,,
coffee,sausage,shopping bags,specialty bar,red/blush wine,,,,,,
whole milk,female sanitary products,,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
frozen dessert,berries,,,,,,,,,
pork,pip fruit,,,,,,,,,
meat,other vegetables,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
bottled beer,seasonal products,,,,,,,,,
frozen meals,tidbits,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
yogurt,newspapers,,,,,,,,,
chicken,frozen dessert,,,,,,,,,
root vegetables,whole milk,meat,other vegetables,dog food,bottled water,domestic eggs,,,,
bottled water,canned beer,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
flour,yogurt,,,,,,,,,
soda,shopping bags,,,,,,,,,
sausage,rolls/buns,UHT-milk,onions,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
whole milk,turkey,long life bakery product,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
sausage,margarine,margarine,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
whole milk,tropical fruit,soda,newspapers,,,,,,,
bottled water,grapes,,,,,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
oil,pork,other vegetables,frozen meals,,,,,,,
canned beer,whole milk,,,,,,,,,
dessert,newspapers,,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
onions,canned fruit,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
whipped/sour cream,butter milk,shopping bags,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
sugar,shopping bags,,,,,,,,,
pork,pip fruit,,,,,,,,,
bottled water,canned beer,,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
curd cheese,mustard,bottled water,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
butter,seasonal products,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
butter,roll products ,,,,,,,,,
bottled water,curd,,,,,,,,,
other vegetables,curd,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
liquor,sugar,,,,,,,,,
chicken,margarine,waffles,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
pip fruit,spread cheese,,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
ham,specialty bar,,,,,,,,,
root vegetables,dishes,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
other vegetables,fruit/vegetable juice,coffee,,,,,,,,
pip fruit,brown bread,oil,,,,,,,,
shopping bags,soap,,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
white wine,white bread,,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
rolls/buns,white bread,,,,,,,,,
berries,mayonnaise,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
pip fruit,white bread,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
seasonal products,root vegetables,,,,,,,,,
beef,pip fruit,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
curd,whole milk,,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
misc. beverages,oil,,,,,,,,,
misc. beverages,pork,domestic eggs,sparkling wine,whipped/sour cream,semi-finished bread,,,,,
canned vegetables,whole milk,,,,,,,,,
onions,sauces,,,,,,,,,
pork,shopping bags,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
bottled water,grapes,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
soda,other vegetables,soda,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
sausage,root vegetables,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
soda,beef,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
bottled beer,pastry,,,,,,,,,
whole milk,specialty bar,newspapers,,,,,,,,
hamburger meat,margarine,,,,,,,,,
citrus fruit,pip fruit,beverages,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
root vegetables,root vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
seasonal products,frozen vegetables,yogurt,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
whole milk,cake bar,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
ham,rolls/buns,tropical fruit,rolls/buns,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
beef,white bread,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
bottled water,curd,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
whole milk,bottled beer,,,,,,,,,
liver loaf,onions,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
white wine,coffee,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
cream cheese ,yogurt,,,,,,,,,
pork,berries,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
whole milk,other vegetables,,,,,,,,,
margarine,pastry,,,,,,,,,
canned fruit,brown bread,,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
white bread,brown bread,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
butter milk,soups,canned fruit,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
specialty chocolate,misc. beverages,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
curd,soda,,,,,,,,,
root vegetables,misc. beverages,other vegetables,,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,pastry,margarine,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
whole milk,rolls/buns,soda,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
brandy,ham,root vegetables,whole milk,,,,,,,
yogurt,bottled water,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
pastry,onions,,,,,,,,,
frozen vegetables,brown bread,rolls/buns,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
pork,butter,,,,,,,,,
canned beer,yogurt,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
frankfurter,butter,bottled beer,,,,,,,,
beef,hard cheese,,,,,,,,,
flower soil/fertilizer,whole milk,,,,,,,,,
processed cheese,salty snack,,,,,,,,,
pip fruit,butter,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
dessert,yogurt,,,,,,,,,
frankfurter,root vegetables,sugar,whole milk,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
beef,specialty chocolate,,,,,,,,,
pip fruit,curd,,,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
napkins,photo/film,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
herbs,grapes,butter,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
ham,rolls/buns,canned fish,shopping bags,,,,,,,
mustard,domestic eggs,,,,,,,,,
beef,yogurt,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
pork,root vegetables,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
soda,grapes,,,,,,,,,
frankfurter,detergent,chocolate,,,,,,,,
pip fruit,butter,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
sausage,soda,processed cheese,,,,,,,,
sausage,yogurt,,,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
citrus fruit,onions,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
beverages,pork,,,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
packaged fruit/vegetables,specialty cheese,margarine,margarine,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
pork,butter milk,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
berries,beverages,pastry,napkins,,,,,,,
whole milk,beef,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
newspapers,citrus fruit,,,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
red/blush wine,other vegetables,,,,,,,,,
brown bread,brown bread,,,,,,,,,
salty snack,whole milk,,,,,,,,,
dessert,pork,,,,,,,,,
dessert,bottled water,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
ham,citrus fruit,,,,,,,,,
butter milk,white wine,,,,,,,,,
hamburger meat,other vegetables,hygiene articles,popcorn,,,,,,,
tropical fruit,coffee,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
